SCLK,LMST,LTST,LOCAL_RELATIVE_HUMIDITY,LOCAL_RELATIVE_HUMIDITY_UNCERTAINTY,HUMIDITY_LOCAL_TEMP,HUMIDITY_LOCAL_TEMP_UNCERTAINTY,VOLUME_MIXING_RATIO,VOLUME_MIXING_RATIO_UNCERTAINTY
667042735,00001M16:09:55.067,0001 15:32:25,,,274.80,,,
667042736,00001M16:09:56.040,0001 15:32:26,,,274.73,,,
667042737,00001M16:09:57.013,0001 15:32:27,,,274.72,,,
667042738,00001M16:09:57.986,0001 15:32:28,,,274.75,,,
667042739,00001M16:09:58.960,0001 15:32:29,,,274.77,,,
667042740,00001M16:09:59.933,0001 15:32:30,,,274.69,,,
667042741,00001M16:10:00.906,0001 15:32:31,,,274.74,,,
667042742,00001M16:10:01.879,0001 15:32:32,,,274.67,,,
667042743,00001M16:10:02.853,0001 15:32:33,,,274.73,,,
667042744,00001M16:10:03.826,0001 15:32:34,,,274.72,,,
667042745,00001M16:10:04.799,0001 15:32:35,,,274.75,,,
667042746,00001M16:10:05.772,0001 15:32:36,,,274.73,,,
667042747,00001M16:10:06.746,0001 15:32:36,,,274.71,,,
667042748,00001M16:10:07.719,0001 15:32:37,,,274.76,,,
667042749,00001M16:10:08.692,0001 15:32:38,,,274.71,,,
667042750,00001M16:10:09.666,0001 15:32:39,,,274.77,,,
667042751,00001M16:10:10.639,0001 15:32:40,,,274.72,,,
667042752,00001M16:10:11.612,0001 15:32:41,,,274.69,,,
667042753,00001M16:10:12.585,0001 15:32:42,,,274.70,,,
667042754,00001M16:10:13.559,0001 15:32:43,,,274.69,,,
667042755,00001M16:10:14.532,0001 15:32:44,,,274.72,,,
667042756,00001M16:10:15.505,0001 15:32:45,,,274.73,,,
667042757,00001M16:10:16.478,0001 15:32:46,,,274.71,,,
667042758,00001M16:10:17.452,0001 15:32:47,,,274.73,,,
667042759,00001M16:10:18.425,0001 15:32:48,,,274.72,,,
667042760,00001M16:10:19.398,0001 15:32:49,,,274.73,,,
667042761,00001M16:10:20.371,0001 15:32:50,,,274.68,,,
667042762,00001M16:10:21.345,0001 15:32:51,,,274.73,,,
667042763,00001M16:10:22.318,0001 15:32:52,,,274.72,,,
667042764,00001M16:10:23.291,0001 15:32:53,,,274.65,,,
667042765,00001M16:10:24.264,0001 15:32:54,,,274.75,,,
667042766,00001M16:10:25.238,0001 15:32:55,,,274.66,,,
667042767,00001M16:10:26.211,0001 15:32:56,,,274.72,,,
667042768,00001M16:10:27.184,0001 15:32:57,,,274.74,,,
667042769,00001M16:10:28.157,0001 15:32:58,,,274.67,,,
667042770,00001M16:10:29.131,0001 15:32:59,,,274.69,,,
667042771,00001M16:10:30.104,0001 15:33:00,,,274.70,,,
667042772,00001M16:10:31.077,0001 15:33:01,,,274.71,,,
667042773,00001M16:10:32.050,0001 15:33:02,,,274.73,,,
667042774,00001M16:10:33.024,0001 15:33:03,,,274.69,,,
667042775,00001M16:10:33.997,0001 15:33:04,,,274.68,,,
667042776,00001M16:10:34.970,0001 15:33:05,,,274.67,,,
667042777,00001M16:10:35.943,0001 15:33:06,,,274.70,,,
667042778,00001M16:10:36.917,0001 15:33:07,,,274.67,,,
667042779,00001M16:10:37.890,0001 15:33:08,,,274.67,,,
667042780,00001M16:10:38.863,0001 15:33:09,,,274.63,,,
667042781,00001M16:10:39.836,0001 15:33:10,,,274.73,,,
